dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001449,0.708334,0.000625,0.062500,3.125000,156.250000,6.281139
0.020000,0.001223,0.708334,0.000851,0.011321,-2.558967,-284.198371,6.281459
0.020000,0.000770,0.708335,0.001304,0.022631,0.565537,156.225230,6.282098
0.020000,0.000092,0.708335,0.001982,0.033922,0.564544,-0.049669,6.283056
0.020000,0.008174,0.708340,0.010065,0.404110,18.509369,897.241283,0.001146
0.020000,0.019545,0.708362,0.021436,0.568574,8.223223,-514.307342,0.002739
0.020000,0.033193,0.708412,0.035084,0.682382,5.690417,-126.640268,0.004648
0.020000,0.049118,0.708504,0.051009,0.796253,5.693535,0.155905,0.006872
0.020000,0.066752,0.708647,0.068644,0.881734,4.274039,-70.974824,0.009329
0.020000,0.084958,0.708840,0.086851,0.910354,1.431026,-142.150621,0.011860
0.020000,0.103167,0.709079,0.105061,0.910536,0.009065,-71.098060,0.014386
0.020000,0.121379,0.709364,0.123276,0.910725,0.009468,0.020134,0.016906
0.020000,0.139595,0.709695,0.141495,0.910949,0.011200,0.086600,0.019421
0.020000,0.157814,0.710071,0.159718,0.911138,0.009436,-0.088216,0.021930
0.020000,0.176036,0.710494,0.177944,0.911329,0.009582,0.007297,0.024434
0.020000,0.194260,0.710962,0.196175,0.911524,0.009726,0.007233,0.026932
0.020000,0.212488,0.711476,0.214409,0.911731,0.010363,0.031862,0.029424
0.020000,0.230718,0.712035,0.232648,0.911959,0.011391,0.051398,0.031910
0.020000,0.248952,0.712640,0.250892,0.912161,0.010080,-0.065572,0.034390
0.020000,0.267187,0.713290,0.269139,0.912365,0.010220,0.006990,0.036864
0.020000,0.285425,0.713985,0.287390,0.912572,0.010358,0.006922,0.039333
0.020000,0.303666,0.714725,0.305646,0.912797,0.011241,0.044161,0.041795
0.020000,0.321910,0.715511,0.323907,0.913028,0.011543,0.015061,0.044251
0.020000,0.340156,0.716341,0.342172,0.913242,0.010694,-0.042415,0.046700
0.020000,0.358404,0.717216,0.360441,0.913458,0.010828,0.006664,0.049144
0.020000,0.376655,0.718136,0.378714,0.913678,0.010959,0.006591,0.051581
0.020000,0.394907,0.719101,0.396993,0.913919,0.012068,0.055442,0.054011
0.020000,0.413163,0.720110,0.415276,0.914153,0.011685,-0.019162,0.056435
0.020000,0.431420,0.721163,0.433563,0.914378,0.011277,-0.020397,0.058853
0.020000,0.449679,0.722261,0.451856,0.914606,0.011404,0.006320,0.061264
0.020000,0.467940,0.723403,0.470152,0.914837,0.011528,0.006245,0.063668
0.020000,0.486203,0.724590,0.488454,0.915093,0.012817,0.064437,0.066066
0.020000,0.504469,0.725820,0.506761,0.915330,0.011844,-0.048669,0.068457
