dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000625,0.062500,3.125000,156.250000,6.281139
0.020000,0.000000,0.000000,0.003125,0.187500,6.250000,156.250000,6.281459
0.020000,0.000000,0.000000,0.008125,0.312500,6.250000,0.000000,6.282098
0.020000,0.000000,0.000000,0.015625,0.437500,6.250000,0.000000,6.283056
0.020000,0.008986,0.000005,0.025625,0.562500,6.250000,0.000000,0.001146
0.020000,0.021486,0.000029,0.038125,0.687500,6.250000,0.000000,0.002739
0.020000,0.036486,0.000085,0.053125,0.812500,6.250000,0.000000,0.004648
0.020000,0.053985,0.000186,0.070625,0.937500,6.250000,0.000000,0.006872
0.020000,0.073360,0.000343,0.090000,1.000000,3.125000,-156.250000,0.009329
0.020000,0.093359,0.000555,0.110000,1.000000,0.000000,-156.250000,0.011860
0.020000,0.113357,0.000817,0.130000,1.000000,0.000000,0.000000,0.014386
0.020000,0.133354,0.001130,0.150000,1.000000,0.000000,0.000000,0.016906
0.020000,0.153351,0.001493,0.170000,1.000000,0.000000,0.000000,0.019421
0.020000,0.173347,0.001907,0.190000,1.000000,0.000000,0.000000,0.021930
0.020000,0.193341,0.002370,0.210000,1.000000,0.000000,0.000000,0.024434
0.020000,0.213335,0.002884,0.230000,1.000000,0.000000,0.000000,0.026932
0.020000,0.233326,0.003447,0.250000,1.000000,0.000000,0.000000,0.029424
0.020000,0.253317,0.004061,0.270000,1.000000,0.000000,0.000000,0.031910
0.020000,0.273306,0.004723,0.290000,1.000000,0.000000,0.000000,0.034390
0.020000,0.293294,0.005436,0.310000,1.000000,0.000000,0.000000,0.036864
0.020000,0.313279,0.006198,0.330000,1.000000,0.000000,0.000000,0.039333
0.020000,0.333262,0.007009,0.350000,1.000000,0.000000,0.000000,0.041795
0.020000,0.353244,0.007869,0.370000,1.000000,0.000000,0.000000,0.044251
0.020000,0.373223,0.008778,0.390000,1.000000,0.000000,0.000000,0.046700
0.020000,0.393200,0.009736,0.410000,1.000000,0.000000,0.000000,0.049144
0.020000,0.413175,0.010743,0.430000,1.000000,0.000000,0.000000,0.051581
0.020000,0.433147,0.011798,0.450000,1.000000,0.000000,0.000000,0.054011
0.020000,0.453117,0.012902,0.470000,1.000000,0.000000,0.000000,0.056435
0.020000,0.473083,0.014055,0.490000,1.000000,0.000000,0.000000,0.058853
0.020000,0.493047,0.015255,0.510000,1.000000,0.000000,0.000000,0.061264
0.020000,0.513008,0.016504,0.530000,1.000000,0.000000,0.000000,0.063668
0.020000,0.532966,0.017800,0.550000,1.000000,0.000000,0.000000,0.066066
0.020000,0.552921,0.019144,0.570000,1.000000,0.000000,0.000000,0.068457
0.020000,0.572872,0.020536,0.590000,1.000000,0.000000,0.000000,0.070841
0.020000,0.592820,0.021975,0.610000,1.000000,0.000000,0.000000,0.073218
0.020000,0.612765,0.023462,0.630000,1.000000,0.000000,0.000000,0.075588
0.020000,0.632706,0.024996,0.650000,1.000000,0.000000,0.000000,0.077951
0.020000,0.652644,0.026577,0.670000,1.000000,0.000000,0.000000,0.080307
0.020000,0.672577,0.028205,0.690000,1.000000,0.000000,0.000000,0.082656
0.020000,0.692507,0.029879,0.710000,1.000000,0.000000,0.000000,0.084998
0.020000,0.712433,0.031601,0.730000,1.000000,0.000000,0.000000,0.087333
0.020000,0.732355,0.033368,0.750000,1.000000,0.000000,0.000000,0.089660
0.020000,0.752272,0.035182,0.770000,1.000000,0.000000,0.000000,0.091980
0.020000,0.772185,0.037042,0.790000,1.000000,0.000000,0.000000,0.094293
0.020000,0.792094,0.038948,0.810000,1.000000,0.000000,0.000000,0.096598
0.020000,0.811999,0.040900,0.830000,1.000000,0.000000,0.000000,0.098896
0.020000,0.831899,0.042898,0.850000,1.000000,0.000000,0.000000,0.101187
0.020000,0.851794,0.044941,0.870000,1.000000,0.000000,0.000000,0.103470
0.020000,0.871685,0.047029,0.890000,1.000000,0.000000,0.000000,0.105745
0.020000,0.891571,0.049162,0.910000,1.000000,0.000000,0.000000,0.108013
0.020000,0.911452,0.051341,0.930000,1.000000,0.000000,0.000000,0.110273
0.020000,0.931328,0.053564,0.950000,1.000000,0.000000,0.000000,0.112525
0.020000,0.951199,0.055832,0.970000,1.000000,0.000000,0.000000,0.114770
0.020000,0.971064,0.058145,0.990000,1.000000,0.000000,0.000000,0.117007
0.020000,0.990925,0.060502,1.010000,1.000000,0.000000,0.000000,0.119236
0.020000,1.010780,0.062903,1.030000,1.000000,0.000000,0.000000,0.121457
0.020000,1.030630,0.065348,1.050000,1.000000,0.000000,0.000000,0.123670
0.020000,1.050475,0.067837,1.070000,1.000000,0.000000,0.000000,0.125875
0.020000,1.070314,0.070370,1.090000,1.000000,0.000000,0.000000,0.128073
0.020000,1.090147,0.072946,1.110000,1.000000,0.000000,0.000000,0.130262
0.020000,1.109975,0.075566,1.130000,1.000000,0.000000,0.000000,0.132443
0.020000,1.129797,0.078228,1.150000,1.000000,0.000000,0.000000,0.134617
0.020000,1.149613,0.080934,1.170000,1.000000,0.000000,0.000000,0.136782
0.020000,1.169423,0.083682,1.190000,1.000000,0.000000,0.000000,0.138939
0.020000,1.189227,0.086474,1.210000,1.000000,0.000000,0.000000,0.141088
0.020000,1.209026,0.089307,1.230000,1.000000,0.000000,0.000000,0.143228
0.020000,1.228818,0.092183,1.250000,1.000000,0.000000,0.000000,0.145361
0.020000,1.248604,0.095101,1.270000,1.000000,0.000000,0.000000,0.147485
0.020000,1.268384,0.098061,1.290000,1.000000,0.000000,0.000000,0.149601
0.020000,1.288157,0.101063,1.310000,1.000000,0.000000,0.000000,0.151708
0.020000,1.307924,0.104106,1.330000,1.000000,0.000000,0.000000,0.153808
0.020000,1.327685,0.107191,1.350000,1.000000,0.000000,0.000000,0.155898
0.020000,1.347439,0.110317,1.370000,1.000000,0.000000,0.000000,0.157981
0.020000,1.367187,0.113484,1.390000,1.000000,0.000000,0.000000,0.160055
0.020000,1.386928,0.116692,1.410000,1.000000,0.000000,0.000000,0.162120
