dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001449,-0.708334,0.000625,0.062500,3.125000,156.250000,6.281139
0.020000,-0.001223,-0.708334,0.000851,0.011321,-2.558967,-284.198371,6.281459
0.020000,-0.000770,-0.708335,0.001304,0.022631,0.565537,156.225230,6.282098
0.020000,-0.000092,-0.708335,0.001982,0.033922,0.564544,-0.049669,6.283056
0.020000,0.009798,-0.708329,0.011872,0.494489,23.028328,1123.189209,0.001146
0.020000,0.023426,-0.708303,0.025501,0.681413,9.346230,-684.104875,0.002739
0.020000,0.039778,-0.708242,0.041853,0.817603,6.809479,-126.837589,0.004648
0.020000,0.058853,-0.708133,0.060928,0.953752,6.807466,-0.100632,0.006872
0.020000,0.079968,-0.707962,0.082043,1.055778,5.101268,-85.309888,0.009329
0.020000,0.101759,-0.707731,0.103836,1.089642,1.693199,-170.403464,0.011860
0.020000,0.123546,-0.707445,0.125625,1.089441,-0.010039,-85.161898,0.014386
0.020000,0.145329,-0.707104,0.147410,1.089244,-0.009834,0.010245,0.016906
0.020000,0.167107,-0.706708,0.169191,1.089083,-0.008038,0.089795,0.019421
0.020000,0.188880,-0.706258,0.190969,1.088875,-0.010420,-0.119105,0.021930
0.020000,0.210647,-0.705753,0.212742,1.088665,-0.010515,-0.004717,0.024434
0.020000,0.232409,-0.705194,0.234511,1.088453,-0.010608,-0.004663,0.026932
0.020000,0.254165,-0.704581,0.256276,1.088250,-0.010111,0.024860,0.029424
0.020000,0.275916,-0.703914,0.278038,1.088067,-0.009146,0.048246,0.031910
0.020000,0.297661,-0.703193,0.299795,1.087848,-0.010969,-0.091180,0.034390
0.020000,0.319400,-0.702418,0.321547,1.087627,-0.011058,-0.004415,0.036864
0.020000,0.341132,-0.701589,0.343295,1.087404,-0.011145,-0.004360,0.039333
0.020000,0.362858,-0.700708,0.365039,1.087197,-0.010342,0.040121,0.041795
0.020000,0.384578,-0.699773,0.386779,1.086993,-0.010232,0.005543,0.044251
0.020000,0.406291,-0.698785,0.408514,1.086763,-0.011486,-0.062718,0.046700
0.020000,0.427997,-0.697744,0.430245,1.086531,-0.011568,-0.004109,0.049144
0.020000,0.449695,-0.696650,0.451971,1.086299,-0.011649,-0.004055,0.051581
0.020000,0.471387,-0.695504,0.473693,1.086087,-0.010567,0.054126,0.054011
0.020000,0.493071,-0.694305,0.495410,1.085862,-0.011255,-0.034436,0.056435
0.020000,0.514747,-0.693054,0.517122,1.085623,-0.011969,-0.035704,0.058853
0.020000,0.536416,-0.691751,0.538830,1.085382,-0.012046,-0.003803,0.061264
0.020000,0.558076,-0.690396,0.560533,1.085139,-0.012121,-0.003749,0.063668
