dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000024,0.708335,0.000625,0.062500,3.125000,156.250000,6.283151
0.020000,0.000018,0.708335,0.000631,0.000298,-3.110093,-311.754674,6.283159
0.020000,0.000006,0.708335,0.000643,0.000612,0.015716,156.290497,6.283177
0.020000,0.005041,0.708335,0.005678,0.251721,12.555440,626.986176,0.000018
0.020000,0.015013,0.708335,0.015651,0.498646,12.346217,-10.461151,0.000057
0.020000,0.027477,0.708336,0.028114,0.623185,6.226989,-305.961400,0.000108
0.020000,0.042430,0.708339,0.043067,0.747642,6.222839,-0.207493,0.000174
0.020000,0.059870,0.708342,0.060507,0.872007,6.218246,-0.229663,0.000259
0.020000,0.079173,0.708348,0.079810,0.965125,4.655921,-78.116250,0.000361
0.020000,0.099091,0.708357,0.099728,0.995917,1.539571,-155.817498,0.000477
0.020000,0.119002,0.708367,0.119639,0.995570,-0.017362,-77.846630,0.000602
0.020000,0.138907,0.708381,0.139544,0.995222,-0.017381,-0.000941,0.000737
0.020000,0.158804,0.708397,0.159441,0.994874,-0.017401,-0.001000,0.000881
0.020000,0.178695,0.708416,0.179332,0.994526,-0.017388,0.000640,0.001036
0.020000,0.198578,0.708438,0.199216,0.994180,-0.017297,0.004540,0.001200
0.020000,0.218455,0.708464,0.219092,0.993831,-0.017446,-0.007476,0.001374
0.020000,0.238325,0.708493,0.238962,0.993482,-0.017471,-0.001242,0.001559
0.020000,0.258187,0.708526,0.258824,0.993132,-0.017497,-0.001301,0.001752
0.020000,0.278043,0.708562,0.278680,0.992782,-0.017525,-0.001360,0.001956
0.020000,0.297891,0.708603,0.298529,0.992431,-0.017553,-0.001419,0.002170
0.020000,0.317733,0.708649,0.318370,0.992079,-0.017582,-0.001478,0.002394
0.020000,0.337567,0.708698,0.338205,0.991727,-0.017613,-0.001537,0.002627
0.020000,0.357395,0.708753,0.358032,0.991374,-0.017645,-0.001596,0.002871
0.020000,0.377215,0.708812,0.377853,0.991024,-0.017487,0.007921,0.003124
0.020000,0.397029,0.708877,0.397666,0.990671,-0.017624,-0.006848,0.003388
0.020000,0.416835,0.708946,0.417473,0.990317,-0.017728,-0.005236,0.003661
0.020000,0.436634,0.709022,0.437272,0.989962,-0.017765,-0.001843,0.003945
0.020000,0.456426,0.709103,0.457064,0.989606,-0.017803,-0.001903,0.004238
0.020000,0.476211,0.709190,0.476849,0.989249,-0.017842,-0.001963,0.004542
0.020000,0.495988,0.709282,0.496627,0.988891,-0.017883,-0.002023,0.004855
0.020000,0.515759,0.709382,0.516397,0.988533,-0.017925,-0.002083,0.005179
0.020000,0.535522,0.709487,0.536161,0.988173,-0.017967,-0.002143,0.005513
0.020000,0.555278,0.709600,0.555917,0.987813,-0.018012,-0.002203,0.005857
0.020000,0.575027,0.709719,0.575666,0.987458,-0.017727,0.014208,0.006211
0.020000,0.594768,0.709845,0.595408,0.987097,-0.018069,-0.017069,0.006576
0.020000,0.614502,0.709978,0.615143,0.986734,-0.018133,-0.003237,0.006950
0.020000,0.634229,0.710119,0.634870,0.986371,-0.018183,-0.002459,0.007335
0.020000,0.653949,0.710268,0.654590,0.986006,-0.018233,-0.002521,0.007730
0.020000,0.673661,0.710424,0.674303,0.985640,-0.018285,-0.002583,0.008136
0.020000,0.693366,0.710589,0.694009,0.985274,-0.018338,-0.002645,0.008551
0.020000,0.713063,0.710761,0.713707,0.984906,-0.018392,-0.002707,0.008978
0.020000,0.732753,0.710942,0.733398,0.984537,-0.018447,-0.002769,0.009414
0.020000,0.752435,0.711132,0.753081,0.984167,-0.018504,-0.002832,0.009861
0.020000,0.772110,0.711330,0.772757,0.983801,-0.018272,0.011611,0.010318
0.020000,0.791778,0.711538,0.792425,0.983432,-0.018484,-0.010626,0.010786
0.020000,0.811438,0.711755,0.812087,0.983058,-0.018666,-0.009114,0.011265
0.020000,0.831090,0.711981,0.831740,0.982684,-0.018728,-0.003101,0.011754
0.020000,0.850735,0.712217,0.851386,0.982308,-0.018792,-0.003166,0.012253
0.020000,0.870372,0.712462,0.871025,0.981931,-0.018856,-0.003231,0.012764
0.020000,0.890002,0.712718,0.890656,0.981552,-0.018922,-0.003296,0.013284
0.020000,0.909623,0.712984,0.910280,0.981173,-0.018989,-0.003361,0.013816
0.020000,0.929237,0.713260,0.929895,0.980791,-0.019058,-0.003427,0.014358
0.020000,0.948843,0.713547,0.949504,0.980409,-0.019128,-0.003493,0.014911
0.020000,0.968441,0.713845,0.969104,0.980025,-0.019199,-0.003559,0.015475
0.020000,0.988032,0.714154,0.988697,0.979646,-0.018935,0.013216,0.016050
0.020000,1.007615,0.714474,1.008282,0.979262,-0.019206,-0.013569,0.016636
0.020000,1.027189,0.714805,1.027860,0.978874,-0.019409,-0.010158,0.017232
0.020000,1.046756,0.715148,1.047429,0.978484,-0.019486,-0.003848,0.017840
0.020000,1.066314,0.715503,1.066991,0.978093,-0.019565,-0.003917,0.018458
0.020000,1.085865,0.715870,1.086545,0.977700,-0.019644,-0.003987,0.019088
0.020000,1.105407,0.716250,1.106091,0.977305,-0.019725,-0.004056,0.019729
0.020000,1.124942,0.716641,1.125630,0.976909,-0.019808,-0.004127,0.020381
0.020000,1.144468,0.717046,1.145160,0.976511,-0.019892,-0.004197,0.021044
0.020000,1.163986,0.717463,1.164682,0.976112,-0.019977,-0.004268,0.021718
0.020000,1.183495,0.717894,1.184196,0.975711,-0.020064,-0.004340,0.022404
0.020000,1.202996,0.718338,1.203702,0.975308,-0.020152,-0.004413,0.023101
0.020000,1.222489,0.718795,1.223201,0.974908,-0.019963,0.009455,0.023810
0.020000,1.241973,0.719266,1.242691,0.974506,-0.020116,-0.007639,0.024530
0.020000,1.261449,0.719751,1.262173,0.974098,-0.020419,-0.015145,0.025261
0.020000,1.280917,0.720250,1.281646,0.973687,-0.020513,-0.004729,0.026004
0.020000,1.300375,0.720763,1.301112,0.973275,-0.020610,-0.004804,0.026759
0.020000,1.319825,0.721291,1.320569,0.972861,-0.020707,-0.004880,0.027525
0.020000,1.339267,0.721834,1.340018,0.972445,-0.020806,-0.004957,0.028303
0.020000,1.358699,0.722392,1.359459,0.972027,-0.020907,-0.005034,0.029093
0.020000,1.378123,0.722965,1.378891,0.971607,-0.021009,-0.005112,0.029895
0.020000,1.397538,0.723553,1.398314,0.971184,-0.021113,-0.005190,0.030708
0.020000,1.416944,0.724157,1.417730,0.970760,-0.021218,-0.005269,0.031534
0.020000,1.436340,0.724777,1.437136,0.970333,-0.021325,-0.005349,0.032371
0.020000,1.455728,0.725414,1.456534,0.969905,-0.021434,-0.005430,0.033221
0.020000,1.475106,0.726066,1.475924,0.969474,-0.021544,-0.005511,0.034083
0.020000,1.494476,0.726735,1.495305,0.969043,-0.021533,0.000582,0.034957
0.020000,1.513836,0.727420,1.514677,0.968615,-0.021424,0.005416,0.035843
0.020000,1.533187,0.728123,1.534041,0.968177,-0.021884,-0.022970,0.036742
0.020000,1.552528,0.728843,1.553395,0.967737,-0.022001,-0.005867,0.037653
0.020000,1.571860,0.729580,1.572741,0.967295,-0.022120,-0.005952,0.038576
0.020000,1.591182,0.730335,1.592078,0.966850,-0.022241,-0.006037,0.039512
0.020000,1.610495,0.731107,1.611406,0.966403,-0.022363,-0.006124,0.040461
0.020000,1.629798,0.731898,1.630725,0.965953,-0.022487,-0.006211,0.041422
0.020000,1.649091,0.732707,1.650035,0.965501,-0.022613,-0.006299,0.042397
0.020000,1.668374,0.733535,1.669336,0.965046,-0.022741,-0.006388,0.043384
0.020000,1.687647,0.734381,1.688628,0.964588,-0.022871,-0.006478,0.044383
0.020000,1.706910,0.735246,1.707911,0.964128,-0.023002,-0.006568,0.045396
0.020000,1.726163,0.736131,1.727184,0.963666,-0.023135,-0.006660,0.046422
0.020000,1.745406,0.737035,1.746448,0.963200,-0.023270,-0.006752,0.047461
0.020000,1.764638,0.737958,1.765703,0.962732,-0.023407,-0.006845,0.048513
0.020000,1.783861,0.738902,1.784948,0.962261,-0.023546,-0.006939,0.049579
0.020000,1.803072,0.739865,1.804183,0.961787,-0.023687,-0.007033,0.050658
0.020000,1.822273,0.740849,1.823410,0.961311,-0.023829,-0.007129,0.051750
0.020000,1.841464,0.741854,1.842626,0.960831,-0.023974,-0.007225,0.052856
0.020000,1.860643,0.742879,1.861833,0.960349,-0.024120,-0.007323,0.053975
0.020000,1.879812,0.743926,1.881031,0.959866,-0.024162,-0.002087,0.055109
0.020000,1.898970,0.744994,1.900218,0.959382,-0.024200,-0.001900,0.056255
0.020000,1.918117,0.746083,1.919396,0.958890,-0.024580,-0.018983,0.057416
0.020000,1.937252,0.747194,1.938564,0.958395,-0.024734,-0.007746,0.058591
0.020000,1.956377,0.748327,1.957722,0.957898,-0.024891,-0.007848,0.059780
0.020000,1.975490,0.749483,1.976870,0.957397,-0.025050,-0.007951,0.060983
0.020000,1.994591,0.750661,1.996008,0.956892,-0.025212,-0.008054,0.062200
0.020000,2.013681,0.751862,2.015135,0.956385,-0.025375,-0.008159,0.063432
0.020000,2.032760,0.753085,2.034253,0.955874,-0.025540,-0.008264,0.064678
0.020000,2.051826,0.754332,2.053360,0.955360,-0.025707,-0.008371,0.065938
0.020000,2.070881,0.755603,2.072457,0.954842,-0.025877,-0.008478,0.067213
0.020000,2.089923,0.756897,2.091543,0.954321,-0.026049,-0.008586,0.068503
0.020000,2.108953,0.758215,2.110619,0.953797,-0.026223,-0.008695,0.069807
0.020000,2.127971,0.759557,2.129685,0.953269,-0.026399,-0.008805,0.071127
0.020000,2.146977,0.760924,2.148739,0.952737,-0.026577,-0.008916,0.072461
0.020000,2.165970,0.762316,2.167783,0.952202,-0.026758,-0.009027,0.073811
0.020000,2.184951,0.763732,2.186817,0.951663,-0.026940,-0.009140,0.075176
0.020000,2.203918,0.765174,2.205839,0.951121,-0.027125,-0.009253,0.076556
0.020000,2.222873,0.766641,2.224851,0.950575,-0.027313,-0.009368,0.077952
0.020000,2.241815,0.768134,2.243851,0.950025,-0.027502,-0.009483,0.079363
0.020000,2.260744,0.769653,2.262841,0.949471,-0.027694,-0.009599,0.080789
0.020000,2.279659,0.771198,2.281819,0.948913,-0.027889,-0.009715,0.082232
0.020000,2.298561,0.772770,2.300786,0.948351,-0.028085,-0.009833,0.083690
0.020000,2.317449,0.774368,2.319742,0.947786,-0.028284,-0.009951,0.085164
0.020000,2.336323,0.775994,2.338686,0.947216,-0.028486,-0.010071,0.086655
0.020000,2.355184,0.777647,2.357619,0.946642,-0.028690,-0.010190,0.088161
0.020000,2.374030,0.779327,2.376540,0.946064,-0.028896,-0.010311,0.089684
0.020000,2.392863,0.781035,2.395450,0.945482,-0.029104,-0.010433,0.091224
0.020000,2.411681,0.782771,2.414348,0.944896,-0.029316,-0.010555,0.092779
0.020000,2.430484,0.784536,2.433234,0.944305,-0.029529,-0.010677,0.094352
0.020000,2.449273,0.786329,2.452108,0.943710,-0.029745,-0.010801,0.095941
0.020000,2.468047,0.788151,2.470970,0.943111,-0.029964,-0.010925,0.097548
0.020000,2.486806,0.790002,2.489820,0.942507,-0.030185,-0.011049,0.099171
0.020000,2.505550,0.791882,2.508658,0.941899,-0.030408,-0.011175,0.100811
0.020000,2.524279,0.793792,2.527484,0.941286,-0.030634,-0.011300,0.102469
0.020000,2.542992,0.795732,2.546297,0.940669,-0.030863,-0.011427,0.104144
0.020000,2.561689,0.797703,2.565098,0.940047,-0.031094,-0.011553,0.105837
0.020000,2.580371,0.799703,2.583887,0.939421,-0.031327,-0.011680,0.107548
0.020000,2.599036,0.801735,2.602662,0.938790,-0.031563,-0.011808,0.109276
0.020000,2.617686,0.803797,2.621426,0.938154,-0.031802,-0.011935,0.111022
0.020000,2.636319,0.805891,2.640176,0.937513,-0.032043,-0.012063,0.112786
0.020000,2.654935,0.808017,2.658913,0.936867,-0.032287,-0.012191,0.114569
0.020000,2.673535,0.810174,2.677637,0.936216,-0.032534,-0.012320,0.116370
0.020000,2.692117,0.812363,2.696349,0.935561,-0.032783,-0.012448,0.118189
0.020000,2.710683,0.814585,2.715047,0.934900,-0.033034,-0.012576,0.120027
0.020000,2.729231,0.816839,2.733731,0.934235,-0.033248,-0.010705,0.121884
0.020000,2.747762,0.819127,2.752403,0.933573,-0.033092,0.007801,0.123759
0.020000,2.766275,0.821448,2.771061,0.932898,-0.033778,-0.034269,0.125654
0.020000,2.784770,0.823802,2.789705,0.932217,-0.034039,-0.013079,0.127568
0.020000,2.803247,0.826190,2.808336,0.931531,-0.034303,-0.013207,0.129502
0.020000,2.821705,0.828612,2.826953,0.930839,-0.034570,-0.013335,0.131455
0.020000,2.840145,0.831069,2.845555,0.930142,-0.034839,-0.013463,0.133427
0.020000,2.858567,0.833560,2.864144,0.929440,-0.035111,-0.013590,0.135419
0.020000,2.876969,0.836086,2.882719,0.928733,-0.035385,-0.013716,0.137432
0.020000,2.895351,0.838647,2.901279,0.928019,-0.035662,-0.013841,0.139464
0.020000,2.913715,0.841244,2.919825,0.927300,-0.035942,-0.013966,0.141517
0.020000,2.932058,0.843877,2.938357,0.926576,-0.036223,-0.014090,0.143590
0.020000,2.950382,0.846546,2.956874,0.925846,-0.036508,-0.014213,0.145684
0.020000,2.968685,0.849251,2.975376,0.925110,-0.036794,-0.014334,0.147798
0.020000,2.986968,0.851993,2.993863,0.924368,-0.037083,-0.014455,0.149933
0.020000,3.005230,0.854772,3.012336,0.923621,-0.037375,-0.014574,0.152090
0.020000,3.023471,0.857588,3.030793,0.922867,-0.037669,-0.014691,0.154267
0.020000,3.041692,0.860442,3.049235,0.922115,-0.037600,0.003455,0.156466
0.020000,3.059891,0.863334,3.067663,0.921362,-0.037679,-0.003956,0.158687
0.020000,3.078068,0.866264,3.086074,0.920591,-0.038535,-0.042813,0.160929
0.020000,3.096223,0.869232,3.104471,0.919814,-0.038838,-0.015148,0.163194
0.020000,3.114356,0.872239,3.122851,0.919032,-0.039143,-0.015256,0.165480
0.020000,3.132467,0.875285,3.141216,0.918243,-0.039450,-0.015363,0.167788
0.020000,3.150554,0.878370,3.159565,0.917447,-0.039760,-0.015467,0.170119
0.020000,3.168619,0.881495,3.177898,0.916646,-0.040071,-0.015568,0.172473
0.020000,3.186660,0.884660,3.196215,0.915838,-0.040384,-0.015666,0.174849
0.020000,3.204678,0.887865,3.214515,0.915024,-0.040700,-0.015762,0.177248
0.020000,3.222671,0.891111,3.232799,0.914204,-0.041017,-0.015854,0.179670
0.020000,3.240641,0.894397,3.251067,0.913388,-0.040794,0.011110,0.182116
0.020000,3.258587,0.897725,3.269318,0.912569,-0.040934,-0.006992,0.184585
0.020000,3.276507,0.901094,3.287553,0.911730,-0.041950,-0.050805,0.187077
0.020000,3.294403,0.904505,3.305771,0.910885,-0.042274,-0.016204,0.189593
0.020000,3.312273,0.907958,3.323971,0.910033,-0.042600,-0.016278,0.192134
0.020000,3.330117,0.911453,3.342155,0.909174,-0.042927,-0.016348,0.194698
0.020000,3.347936,0.914990,3.360321,0.908309,-0.043255,-0.016413,0.197287
0.020000,3.365728,0.918571,3.378470,0.907438,-0.043585,-0.016473,0.199900
0.020000,3.383493,0.922195,3.396601,0.906559,-0.043915,-0.016528,0.202538
0.020000,3.401232,0.925862,3.414715,0.905696,-0.043149,0.038319,0.205201
0.020000,3.418944,0.929573,3.432811,0.904813,-0.044162,-0.050678,0.207889
0.020000,3.436628,0.933328,3.450890,0.903915,-0.044888,-0.036256,0.210602
0.020000,3.454284,0.937128,3.468950,0.903011,-0.045222,-0.016722,0.213341
0.020000,3.471911,0.940972,3.486992,0.902100,-0.045557,-0.016749,0.216105
0.020000,3.489510,0.944861,3.505015,0.901182,-0.045892,-0.016769,0.218895
0.020000,3.507080,0.948796,3.523021,0.900257,-0.046228,-0.016782,0.221711
0.020000,3.524621,0.952776,3.541007,0.899337,-0.046005,0.011129,0.224553
0.020000,3.542133,0.956802,3.558976,0.898422,-0.045756,0.012481,0.227421
0.020000,3.559614,0.960874,3.576925,0.897478,-0.047214,-0.072895,0.230316
0.020000,3.577065,0.964993,3.594856,0.896527,-0.047550,-0.016799,0.233238
0.020000,3.594486,0.969159,3.612767,0.895569,-0.047885,-0.016774,0.236186
0.020000,3.611875,0.973371,3.630659,0.894605,-0.048220,-0.016739,0.239162
0.020000,3.629232,0.977631,3.648532,0.893634,-0.048554,-0.016696,0.242165
0.020000,3.646559,0.981939,3.666386,0.892685,-0.047424,0.056488,0.245195
0.020000,3.663853,0.986294,3.684220,0.891709,-0.048811,-0.069369,0.248253
0.020000,3.681114,0.990698,3.702034,0.890718,-0.049532,-0.036045,0.251339
0.020000,3.698343,0.995150,3.719829,0.889721,-0.049862,-0.016475,0.254453
0.020000,3.715538,0.999651,3.737603,0.888717,-0.050190,-0.016382,0.257594
0.020000,3.732699,1.004201,3.755357,0.887707,-0.050515,-0.016277,0.260765
0.020000,3.749826,1.008801,3.773092,0.886725,-0.049110,0.070251,0.263963
0.020000,3.766920,1.013450,3.790806,0.885707,-0.050892,-0.089085,0.267191
0.020000,3.783978,1.018150,3.808499,0.884678,-0.051466,-0.028727,0.270447
0.020000,3.801000,1.022899,3.826172,0.883642,-0.051782,-0.015799,0.273732
0.020000,3.817987,1.027699,3.843824,0.882600,-0.052095,-0.015633,0.277047
0.020000,3.834938,1.032550,3.861455,0.881570,-0.051510,0.029260,0.280390
0.020000,3.851853,1.037452,3.879066,0.880539,-0.051515,-0.000257,0.283764
0.020000,3.868731,1.042405,3.896656,0.879479,-0.053005,-0.074519,0.287167
0.020000,3.885571,1.047410,3.914224,0.878413,-0.053303,-0.014900,0.290600
0.020000,3.902373,1.052466,3.931771,0.877341,-0.053597,-0.014662,0.294063
0.020000,3.919138,1.057575,3.949297,0.876279,-0.053098,0.024929,0.297556
0.020000,3.935864,1.062737,3.966801,0.875224,-0.052794,0.015210,0.301079
0.020000,3.952551,1.067951,3.984284,0.874135,-0.054446,-0.082614,0.304633
0.020000,3.969199,1.073218,4.001745,0.873040,-0.054719,-0.013632,0.308218
0.020000,3.985806,1.078538,4.019183,0.871941,-0.054985,-0.013313,0.311833
0.020000,4.002374,1.083912,4.036601,0.870862,-0.053905,0.054006,0.315479
0.020000,4.018901,1.089340,4.053996,0.869770,-0.054630,-0.036256,0.319157
0.020000,4.035386,1.094821,4.071369,0.868655,-0.055751,-0.056033,0.322866
0.020000,4.051830,1.100357,4.088720,0.867535,-0.055990,-0.011945,0.326605
0.020000,4.068232,1.105947,4.106048,0.866415,-0.055994,-0.000203,0.330377
0.020000,4.084592,1.111593,4.123355,0.865327,-0.054432,0.078097,0.334180
0.020000,4.100909,1.117293,4.140638,0.864193,-0.056670,-0.111933,0.338014
0.020000,4.117182,1.123048,4.157900,0.863056,-0.056876,-0.010279,0.341881
0.020000,4.133411,1.128859,4.175138,0.861914,-0.057072,-0.009788,0.345779
0.020000,4.149597,1.134726,4.192354,0.860805,-0.055437,0.081757,0.349710
0.020000,4.165738,1.140649,4.209547,0.859665,-0.057026,-0.079459,0.353672
0.020000,4.181833,1.146628,4.226718,0.858513,-0.057620,-0.029691,0.357667
0.020000,4.197883,1.152663,4.243865,0.857357,-0.057774,-0.007713,0.361694
0.020000,4.213888,1.158755,4.260989,0.856230,-0.056347,0.071331,0.365754
0.020000,4.229846,1.164905,4.278091,0.855082,-0.057405,-0.052897,0.369846
0.020000,4.245756,1.171111,4.295169,0.853918,-0.058194,-0.039444,0.373971
0.020000,4.261620,1.177374,4.312224,0.852752,-0.058300,-0.005288,0.378128
0.020000,4.277436,1.183695,4.329257,0.851617,-0.056740,0.078011,0.382318
0.020000,4.293203,1.190074,4.346266,0.850458,-0.057953,-0.060681,0.386540
0.020000,4.308922,1.196511,4.363252,0.849287,-0.058571,-0.030906,0.390795
0.020000,4.324592,1.203006,4.380214,0.848114,-0.058621,-0.002498,0.395083
0.020000,4.340212,1.209559,4.397153,0.846981,-0.056650,0.098583,0.399404
0.020000,4.355783,1.216171,4.414070,0.845810,-0.058578,-0.096430,0.403758
0.020000,4.371303,1.222842,4.430962,0.844635,-0.058722,-0.007200,0.408145
0.020000,4.386772,1.229572,4.447832,0.843471,-0.058211,0.025574,0.412564
0.020000,4.402190,1.236361,4.464678,0.842329,-0.057116,0.054749,0.417016
0.020000,4.417556,1.243209,4.481502,0.841155,-0.058682,-0.078313,0.421501
0.020000,4.432869,1.250117,4.498301,0.839983,-0.058617,0.003264,0.426019
0.020000,4.448131,1.257085,4.515078,0.838838,-0.057247,0.068477,0.430569
0.020000,4.463339,1.264112,4.531832,0.837683,-0.057768,-0.026043,0.435153
0.020000,4.478494,1.271200,4.548562,0.836515,-0.058367,-0.029934,0.439768
0.020000,4.493595,1.278348,4.565269,0.835356,-0.057956,0.020525,0.444417
0.020000,4.508642,1.285556,4.581954,0.834227,-0.056460,0.074788,0.449098
0.020000,4.523634,1.292825,4.598615,0.833068,-0.057946,-0.074299,0.453811
0.020000,4.538571,1.300155,4.615253,0.831913,-0.057743,0.010173,0.458557
0.020000,4.553453,1.307545,4.631869,0.830788,-0.056249,0.074676,0.463335
0.020000,4.568279,1.314997,4.648462,0.829652,-0.056831,-0.029100,0.468145
0.020000,4.583048,1.322509,4.665032,0.828510,-0.057075,-0.012174,0.472986
0.020000,4.597760,1.330084,4.681580,0.827386,-0.056187,0.044392,0.477860
0.020000,4.612416,1.337719,4.698105,0.826277,-0.055468,0.035970,0.482765
0.020000,4.627014,1.345416,4.714609,0.825153,-0.056210,-0.037097,0.487702
0.020000,4.641554,1.353175,4.731089,0.824038,-0.055748,0.023084,0.492670
0.020000,4.656036,1.360996,4.747548,0.822956,-0.054091,0.082864,0.497669
0.020000,4.670460,1.368879,4.763985,0.821853,-0.055137,-0.052315,0.502699
0.020000,4.684824,1.376824,4.780401,0.820759,-0.054701,0.021797,0.507760
0.020000,4.699130,1.384832,4.796795,0.819696,-0.053156,0.077248,0.512851
0.020000,4.713375,1.392902,4.813167,0.818624,-0.053604,-0.022402,0.517972
0.020000,4.727560,1.401034,4.829518,0.817557,-0.053336,0.013398,0.523123
0.020000,4.741686,1.409229,4.845848,0.816516,-0.052081,0.062749,0.528304
0.020000,4.755750,1.417487,4.862158,0.815478,-0.051880,0.010067,0.533514
0.020000,4.769754,1.425807,4.878447,0.814443,-0.051745,0.006715,0.538753
0.020000,4.783696,1.434191,4.894716,0.813430,-0.050682,0.053174,0.544021
0.020000,4.797576,1.442638,4.910964,0.812429,-0.050037,0.032270,0.549317
0.020000,4.811395,1.451147,4.927193,0.811430,-0.049924,0.005621,0.554641
0.020000,4.825151,1.459721,4.943402,0.810451,-0.048973,0.047565,0.559993
0.020000,4.838845,1.468357,4.959592,0.809490,-0.048052,0.046061,0.565372
0.020000,4.852476,1.477057,4.975762,0.808533,-0.047869,0.009115,0.570778
0.020000,4.866043,1.485820,4.991914,0.807593,-0.046968,0.045085,0.576211
0.020000,4.879548,1.494648,5.008048,0.806675,-0.045907,0.053044,0.581669
0.020000,4.892989,1.503539,5.024163,0.805763,-0.045581,0.016311,0.587154
0.020000,4.906365,1.512493,5.040260,0.804870,-0.044680,0.045052,0.592663
0.020000,4.919678,1.521512,5.056340,0.803998,-0.043589,0.054508,0.598197
0.020000,4.932927,1.530595,5.072403,0.803137,-0.043060,0.026469,0.603756
0.020000,4.946110,1.539741,5.088449,0.802294,-0.042120,0.046977,0.609338
0.020000,4.959229,1.548952,5.104478,0.801473,-0.041093,0.051369,0.614943
0.020000,4.972283,1.558227,5.120492,0.800666,-0.040313,0.039026,0.620572
0.020000,4.985271,1.567566,5.136489,0.799880,-0.039304,0.050441,0.626222
0.020000,4.998194,1.576970,5.152471,0.799112,-0.038413,0.044540,0.631894
0.020000,5.011052,1.586438,5.168439,0.798365,-0.037349,0.053191,0.637587
0.020000,5.023843,1.595971,5.184391,0.797640,-0.036265,0.054185,0.643301
0.020000,5.036568,1.605568,5.200330,0.796930,-0.035502,0.038186,0.649034
0.020000,5.049227,1.615230,5.216255,0.796245,-0.034209,0.064657,0.654787
0.020000,5.061820,1.624956,5.232167,0.795585,-0.033023,0.059256,0.660559
