dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000625,0.062500,3.125000,156.250000,6.283151
0.020000,0.000000,0.000000,0.003125,0.187500,6.250000,156.250000,6.283159
0.020000,0.000000,0.000000,0.008125,0.312500,6.250000,0.000000,6.283177
0.020000,0.005054,0.000000,0.015625,0.437500,6.250000,0.000000,0.000018
0.020000,0.015054,0.000000,0.025625,0.562500,6.250000,0.000000,0.000057
0.020000,0.027554,0.000001,0.038125,0.687500,6.250000,0.000000,0.000108
0.020000,0.042554,0.000004,0.053125,0.812500,6.250000,0.000000,0.000174
0.020000,0.060054,0.000007,0.070625,0.937500,6.250000,0.000000,0.000259
0.020000,0.079429,0.000013,0.090000,1.000000,3.125000,-156.250000,0.000361
0.020000,0.099429,0.000022,0.110000,1.000000,0.000000,-156.250000,0.000477
0.020000,0.119429,0.000032,0.130000,1.000000,0.000000,0.000000,0.000602
0.020000,0.139429,0.000046,0.150000,1.000000,0.000000,0.000000,0.000737
0.020000,0.159429,0.000062,0.170000,1.000000,0.000000,0.000000,0.000881
0.020000,0.179429,0.000081,0.190000,1.000000,0.000000,0.000000,0.001036
0.020000,0.199429,0.000103,0.210000,1.000000,0.000000,0.000000,0.001200
0.020000,0.219429,0.000129,0.230000,1.000000,0.000000,0.000000,0.001374
0.020000,0.239429,0.000159,0.250000,1.000000,0.000000,0.000000,0.001559
0.020000,0.259429,0.000192,0.270000,1.000000,0.000000,0.000000,0.001752
0.020000,0.279429,0.000229,0.290000,1.000000,0.000000,0.000000,0.001956
0.020000,0.299429,0.000270,0.310000,1.000000,0.000000,0.000000,0.002170
0.020000,0.319428,0.000316,0.330000,1.000000,0.000000,0.000000,0.002394
0.020000,0.339428,0.000366,0.350000,1.000000,0.000000,0.000000,0.002627
0.020000,0.359428,0.000421,0.370000,1.000000,0.000000,0.000000,0.002871
0.020000,0.379428,0.000481,0.390000,1.000000,0.000000,0.000000,0.003124
0.020000,0.399428,0.000546,0.410000,1.000000,0.000000,0.000000,0.003388
0.020000,0.419428,0.000616,0.430000,1.000000,0.000000,0.000000,0.003661
0.020000,0.439428,0.000692,0.450000,1.000000,0.000000,0.000000,0.003945
0.020000,0.459428,0.000774,0.470000,1.000000,0.000000,0.000000,0.004238
0.020000,0.479428,0.000862,0.490000,1.000000,0.000000,0.000000,0.004542
0.020000,0.499427,0.000956,0.510000,1.000000,0.000000,0.000000,0.004855
0.020000,0.519427,0.001056,0.530000,1.000000,0.000000,0.000000,0.005179
0.020000,0.539427,0.001163,0.550000,1.000000,0.000000,0.000000,0.005513
0.020000,0.559426,0.001277,0.570000,1.000000,0.000000,0.000000,0.005857
0.020000,0.579426,0.001397,0.590000,1.000000,0.000000,0.000000,0.006211
0.020000,0.599426,0.001525,0.610000,1.000000,0.000000,0.000000,0.006576
0.020000,0.619425,0.001660,0.630000,1.000000,0.000000,0.000000,0.006950
0.020000,0.639425,0.001803,0.650000,1.000000,0.000000,0.000000,0.007335
0.020000,0.659424,0.001954,0.670000,1.000000,0.000000,0.000000,0.007730
0.020000,0.679424,0.002113,0.690000,1.000000,0.000000,0.000000,0.008136
0.020000,0.699423,0.002279,0.710000,1.000000,0.000000,0.000000,0.008551
0.020000,0.719422,0.002455,0.730000,1.000000,0.000000,0.000000,0.008978
0.020000,0.739421,0.002639,0.750000,1.000000,0.000000,0.000000,0.009414
0.020000,0.759420,0.002831,0.770000,1.000000,0.000000,0.000000,0.009861
0.020000,0.779419,0.003033,0.790000,1.000000,0.000000,0.000000,0.010318
0.020000,0.799418,0.003244,0.810000,1.000000,0.000000,0.000000,0.010786
0.020000,0.819417,0.003465,0.830000,1.000000,0.000000,0.000000,0.011265
0.020000,0.839416,0.003695,0.850000,1.000000,0.000000,0.000000,0.011754
0.020000,0.859414,0.003935,0.870000,1.000000,0.000000,0.000000,0.012253
0.020000,0.879413,0.004185,0.890000,1.000000,0.000000,0.000000,0.012764
0.020000,0.899411,0.004445,0.910000,1.000000,0.000000,0.000000,0.013284
0.020000,0.919409,0.004716,0.930000,1.000000,0.000000,0.000000,0.013816
0.020000,0.939407,0.004998,0.950000,1.000000,0.000000,0.000000,0.014358
