dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000024,-0.708335,0.000625,0.062500,3.125000,156.250000,6.283151
0.020000,-0.000018,-0.708335,0.000631,0.000298,-3.110093,-311.754674,6.283159
0.020000,-0.000006,-0.708335,0.000643,0.000612,0.015716,156.290497,6.283177
0.020000,0.005067,-0.708335,0.005716,0.253640,12.651360,631.782170,0.000018
0.020000,0.015094,-0.708335,0.015743,0.501355,12.385754,-13.280304,0.000057
0.020000,0.027630,-0.708334,0.028279,0.626815,6.273013,-305.637025,0.000108
0.020000,0.042677,-0.708331,0.043326,0.752355,6.276976,0.198143,0.000174
0.020000,0.060237,-0.708328,0.060886,0.877997,6.282128,0.257600,0.000259
0.020000,0.079685,-0.708322,0.080334,0.972376,4.718944,-78.159183,0.000361
0.020000,0.099766,-0.708313,0.100416,1.004084,1.585387,-156.677870,0.000477
0.020000,0.119855,-0.708302,0.120504,1.004430,0.017330,-78.402854,0.000602
0.020000,0.139950,-0.708289,0.140600,1.004777,0.017342,0.000601,0.000737
0.020000,0.160053,-0.708273,0.160702,1.005124,0.017355,0.000663,0.000881
0.020000,0.180162,-0.708253,0.180812,1.005472,0.017404,0.002444,0.001036
0.020000,0.200279,-0.708231,0.200928,1.005823,0.017534,0.006517,0.001200
0.020000,0.220402,-0.708205,0.221052,1.006172,0.017424,-0.005513,0.001374
0.020000,0.240533,-0.708176,0.241182,1.006520,0.017442,0.000910,0.001559
0.020000,0.260670,-0.708142,0.261319,1.006870,0.017462,0.000973,0.001752
0.020000,0.280814,-0.708105,0.281464,1.007219,0.017483,0.001037,0.001956
0.020000,0.300966,-0.708063,0.301615,1.007569,0.017505,0.001101,0.002170
0.020000,0.321124,-0.708017,0.321774,1.007920,0.017528,0.001165,0.002394
0.020000,0.341289,-0.707967,0.341939,1.008271,0.017553,0.001230,0.002627
0.020000,0.361462,-0.707911,0.362111,1.008623,0.017578,0.001295,0.002871
0.020000,0.381641,-0.707851,0.382291,1.008979,0.017801,0.011113,0.003124
0.020000,0.401828,-0.707785,0.402478,1.009333,0.017725,-0.003786,0.003388
0.020000,0.422021,-0.707714,0.422671,1.009687,0.017684,-0.002030,0.003661
0.020000,0.442222,-0.707637,0.442872,1.010041,0.017715,0.001550,0.003945
0.020000,0.462430,-0.707555,0.463080,1.010396,0.017748,0.001616,0.004238
0.020000,0.482645,-0.707466,0.483295,1.010752,0.017781,0.001683,0.004542
0.020000,0.502867,-0.707371,0.503517,1.011108,0.017816,0.001750,0.004855
0.020000,0.523096,-0.707269,0.523747,1.011465,0.017853,0.001817,0.005179
0.020000,0.543332,-0.707161,0.543983,1.011823,0.017890,0.001885,0.005513
0.020000,0.563575,-0.707046,0.564227,1.012181,0.017929,0.001953,0.005857
0.020000,0.583826,-0.706924,0.584478,1.012548,0.018308,0.018918,0.006211
0.020000,0.604083,-0.706794,0.604736,1.012908,0.018048,-0.013008,0.006576
0.020000,0.624348,-0.706657,0.625001,1.013270,0.018073,0.001290,0.006950
0.020000,0.644620,-0.706513,0.645274,1.013632,0.018118,0.002218,0.007335
0.020000,0.664900,-0.706360,0.665554,1.013996,0.018164,0.002288,0.007730
0.020000,0.685186,-0.706199,0.685841,1.014360,0.018211,0.002359,0.008136
0.020000,0.705480,-0.706030,0.706135,1.014725,0.018259,0.002429,0.008551
0.020000,0.725781,-0.705852,0.726437,1.015091,0.018309,0.002500,0.008978
0.020000,0.746089,-0.705665,0.746746,1.015458,0.018361,0.002572,0.009414
0.020000,0.766405,-0.705469,0.767063,1.015827,0.018414,0.002644,0.009861
0.020000,0.786728,-0.705264,0.787387,1.016202,0.018768,0.017706,0.010318
0.020000,0.807058,-0.705050,0.807719,1.016575,0.018666,-0.005107,0.010786
0.020000,0.827396,-0.704825,0.828058,1.016947,0.018597,-0.003426,0.011265
0.020000,0.847741,-0.704591,0.848404,1.017320,0.018656,0.002922,0.011754
0.020000,0.868094,-0.704347,0.868758,1.017695,0.018715,0.002996,0.012253
0.020000,0.888453,-0.704092,0.889119,1.018070,0.018777,0.003070,0.012764
0.020000,0.908821,-0.703827,0.909488,1.018447,0.018840,0.003145,0.013284
0.020000,0.929195,-0.703551,0.929865,1.018825,0.018904,0.003221,0.013816
0.020000,0.949577,-0.703264,0.950249,1.019205,0.018970,0.003296,0.014358
0.020000,0.969967,-0.702965,0.970640,1.019585,0.019038,0.003373,0.014911
0.020000,0.990364,-0.702656,0.991040,1.019967,0.019107,0.003450,0.015475
0.020000,1.010769,-0.702334,1.011447,1.020358,0.019528,0.021076,0.016050
0.020000,1.031181,-0.702000,1.031862,1.020746,0.019395,-0.006652,0.016636
0.020000,1.051600,-0.701655,1.052285,1.021133,0.019336,-0.002975,0.017232
0.020000,1.072028,-0.701296,1.072715,1.021521,0.019410,0.003744,0.017840
0.020000,1.092463,-0.700925,1.093153,1.021911,0.019487,0.003823,0.018458
0.020000,1.112905,-0.700542,1.113599,1.022302,0.019565,0.003902,0.019088
0.020000,1.133355,-0.700145,1.134053,1.022695,0.019645,0.003982,0.019729
0.020000,1.153813,-0.699734,1.154515,1.023089,0.019726,0.004063,0.020381
0.020000,1.174278,-0.699310,1.174985,1.023485,0.019809,0.004144,0.021044
0.020000,1.194751,-0.698873,1.195462,1.023883,0.019893,0.004225,0.021718
0.020000,1.215232,-0.698421,1.215948,1.024283,0.019979,0.004307,0.022404
0.020000,1.235720,-0.697955,1.236442,1.024684,0.020067,0.004390,0.023101
0.020000,1.256216,-0.697474,1.256943,1.025093,0.020450,0.019138,0.023810
0.020000,1.276720,-0.696978,1.277454,1.025503,0.020477,0.001349,0.024530
0.020000,1.297232,-0.696467,1.297972,1.025910,0.020349,-0.006406,0.025261
0.020000,1.317752,-0.695941,1.318498,1.026319,0.020443,0.004704,0.026004
0.020000,1.338279,-0.695400,1.339033,1.026729,0.020539,0.004789,0.026759
0.020000,1.358815,-0.694842,1.359575,1.027142,0.020636,0.004875,0.027525
0.020000,1.379358,-0.694269,1.380127,1.027557,0.020735,0.004961,0.028303
0.020000,1.399909,-0.693679,1.400686,1.027973,0.020836,0.005047,0.029093
0.020000,1.420468,-0.693072,1.421254,1.028392,0.020939,0.005134,0.029895
0.020000,1.441034,-0.692449,1.441830,1.028813,0.021043,0.005222,0.030708
0.020000,1.461609,-0.691808,1.462415,1.029236,0.021150,0.005310,0.031534
0.020000,1.482192,-0.691150,1.483008,1.029661,0.021258,0.005399,0.032371
0.020000,1.502783,-0.690475,1.503610,1.030089,0.021367,0.005488,0.033221
0.020000,1.523381,-0.689781,1.524220,1.030518,0.021479,0.005578,0.034083
0.020000,1.543988,-0.689070,1.544839,1.030953,0.021724,0.012241,0.034957
0.020000,1.564603,-0.688340,1.565467,1.031394,0.022076,0.017592,0.035843
0.020000,1.585226,-0.687591,1.586104,1.031831,0.021827,-0.012451,0.036742
0.020000,1.605857,-0.686823,1.606749,1.032270,0.021945,0.005918,0.037653
0.020000,1.626496,-0.686036,1.627403,1.032711,0.022065,0.006010,0.038576
0.020000,1.647144,-0.685230,1.648067,1.033155,0.022187,0.006103,0.039512
0.020000,1.667799,-0.684403,1.668739,1.033601,0.022311,0.006197,0.040461
0.020000,1.688463,-0.683557,1.689420,1.034050,0.022437,0.006291,0.041422
0.020000,1.709135,-0.682690,1.710110,1.034501,0.022565,0.006385,0.042397
0.020000,1.729815,-0.681802,1.730809,1.034955,0.022694,0.006480,0.043384
0.020000,1.750503,-0.680894,1.751517,1.035411,0.022826,0.006576,0.044383
0.020000,1.771200,-0.679964,1.772234,1.035871,0.022959,0.006672,0.045396
0.020000,1.791904,-0.679013,1.792961,1.036332,0.023095,0.006769,0.046422
0.020000,1.812617,-0.678040,1.813697,1.036797,0.023232,0.006866,0.047461
0.020000,1.833339,-0.677045,1.834442,1.037264,0.023371,0.006963,0.048513
0.020000,1.854069,-0.676028,1.855197,1.037735,0.023512,0.007062,0.049579
0.020000,1.874807,-0.674987,1.875961,1.038208,0.023656,0.007160,0.050658
0.020000,1.895553,-0.673924,1.896735,1.038684,0.023801,0.007259,0.051750
0.020000,1.916308,-0.672838,1.917518,1.039163,0.023948,0.007359,0.052856
0.020000,1.937071,-0.671728,1.938311,1.039645,0.024097,0.007459,0.053975
0.020000,1.957843,-0.670594,1.959114,1.040132,0.024364,0.013343,0.055109
0.020000,1.978623,-0.669435,1.979926,1.040625,0.024640,0.013777,0.056255
0.020000,1.999412,-0.668252,2.000748,1.041116,0.024549,-0.004545,0.057416
0.020000,2.020209,-0.667045,2.021581,1.041610,0.024705,0.007837,0.058591
0.020000,2.041015,-0.665812,2.042423,1.042107,0.024864,0.007939,0.059780
0.020000,2.061829,-0.664554,2.063275,1.042608,0.025025,0.008042,0.060983
0.020000,2.082652,-0.663270,2.084137,1.043111,0.025188,0.008146,0.062200
0.020000,2.103483,-0.661959,2.105009,1.043618,0.025353,0.008250,0.063432
0.020000,2.124323,-0.660623,2.125892,1.044129,0.025520,0.008354,0.064678
0.020000,2.145171,-0.659259,2.146785,1.044643,0.025689,0.008459,0.065938
0.020000,2.166028,-0.657869,2.167688,1.045160,0.025860,0.008564,0.067213
0.020000,2.186893,-0.656451,2.188602,1.045681,0.026034,0.008669,0.068503
0.020000,2.207767,-0.655005,2.209526,1.046205,0.026209,0.008775,0.069807
0.020000,2.228650,-0.653531,2.230460,1.046732,0.026387,0.008882,0.071127
0.020000,2.249541,-0.652028,2.251406,1.047264,0.026567,0.008988,0.072461
0.020000,2.270441,-0.650497,2.272362,1.047799,0.026749,0.009095,0.073811
0.020000,2.291350,-0.648937,2.293328,1.048337,0.026933,0.009203,0.075176
0.020000,2.312267,-0.647347,2.314306,1.048880,0.027119,0.009311,0.076556
0.020000,2.333193,-0.645727,2.335295,1.049426,0.027307,0.009419,0.077952
0.020000,2.354128,-0.644077,2.356294,1.049976,0.027498,0.009527,0.079363
0.020000,2.375071,-0.642396,2.377305,1.050530,0.027691,0.009636,0.080789
0.020000,2.396023,-0.640685,2.398326,1.051087,0.027885,0.009744,0.082232
0.020000,2.416983,-0.638942,2.419359,1.051649,0.028083,0.009854,0.083690
0.020000,2.437953,-0.637167,2.440404,1.052215,0.028282,0.009963,0.085164
0.020000,2.458931,-0.635361,2.461459,1.052784,0.028483,0.010073,0.086655
0.020000,2.479918,-0.633522,2.482527,1.053358,0.028687,0.010182,0.088161
0.020000,2.500913,-0.631650,2.503605,1.053936,0.028893,0.010292,0.089684
0.020000,2.521917,-0.629745,2.524696,1.054518,0.029101,0.010402,0.091224
0.020000,2.542930,-0.627806,2.545798,1.055104,0.029311,0.010513,0.092779
0.020000,2.563952,-0.625833,2.566912,1.055695,0.029523,0.010623,0.094352
0.020000,2.584982,-0.623826,2.588037,1.056289,0.029738,0.010733,0.095941
0.020000,2.606021,-0.621785,2.609175,1.056889,0.029955,0.010844,0.097548
0.020000,2.627068,-0.619708,2.630325,1.057492,0.030174,0.010954,0.099171
0.020000,2.648125,-0.617595,2.651487,1.058100,0.030395,0.011065,0.100811
0.020000,2.669190,-0.615447,2.672661,1.058712,0.030619,0.011175,0.102469
0.020000,2.690263,-0.613262,2.693848,1.059329,0.030845,0.011286,0.104144
0.020000,2.711346,-0.611040,2.715047,1.059951,0.031073,0.011396,0.105837
0.020000,2.732436,-0.608782,2.736258,1.060577,0.031303,0.011506,0.107548
0.020000,2.753536,-0.606485,2.757483,1.061207,0.031535,0.011616,0.109276
0.020000,2.774644,-0.604151,2.778719,1.061843,0.031769,0.011726,0.111022
0.020000,2.795761,-0.601778,2.799969,1.062483,0.032006,0.011835,0.112786
0.020000,2.816886,-0.599366,2.821232,1.063128,0.032245,0.011944,0.114569
0.020000,2.838020,-0.596915,2.842507,1.063778,0.032486,0.012053,0.116370
0.020000,2.859163,-0.594424,2.863796,1.064432,0.032729,0.012162,0.118189
0.020000,2.880313,-0.591893,2.885098,1.065092,0.032975,0.012270,0.120027
0.020000,2.901473,-0.589321,2.906413,1.065757,0.033268,0.014660,0.121884
0.020000,2.922641,-0.586708,2.927741,1.066437,0.033990,0.036081,0.123759
0.020000,2.943817,-0.584053,2.949084,1.067112,0.033756,-0.011693,0.125654
0.020000,2.965002,-0.581357,2.970440,1.067792,0.034010,0.012717,0.127568
0.020000,2.986196,-0.578617,2.991809,1.068477,0.034267,0.012821,0.129502
0.020000,3.007397,-0.575835,3.013192,1.069168,0.034525,0.012926,0.131455
0.020000,3.028607,-0.573010,3.034590,1.069864,0.034786,0.013029,0.133427
0.020000,3.049825,-0.570140,3.056001,1.070565,0.035048,0.013131,0.135419
0.020000,3.071052,-0.567226,3.077426,1.071271,0.035313,0.013233,0.137432
0.020000,3.092286,-0.564268,3.098866,1.071982,0.035580,0.013334,0.139464
0.020000,3.113529,-0.561263,3.120320,1.072699,0.035848,0.013433,0.141517
0.020000,3.134779,-0.558213,3.141789,1.073422,0.036119,0.013532,0.143590
0.020000,3.156038,-0.555117,3.163272,1.074150,0.036391,0.013629,0.145684
0.020000,3.177305,-0.551974,3.184769,1.074883,0.036666,0.013725,0.147798
0.020000,3.198579,-0.548783,3.206282,1.075622,0.036942,0.013820,0.149933
0.020000,3.219862,-0.545545,3.227809,1.076366,0.037221,0.013914,0.152090
0.020000,3.241152,-0.542258,3.249351,1.077116,0.037501,0.014006,0.154267
0.020000,3.262450,-0.538922,3.270909,1.077880,0.038210,0.035459,0.156466
0.020000,3.283755,-0.535537,3.292482,1.078656,0.038753,0.027131,0.158687
0.020000,3.305069,-0.532101,3.314070,1.079423,0.038389,-0.018166,0.160929
0.020000,3.326390,-0.528615,3.335674,1.080197,0.038676,0.014362,0.163194
0.020000,3.347718,-0.525079,3.357294,1.080976,0.038965,0.014445,0.165480
0.020000,3.369053,-0.521490,3.378929,1.081761,0.039256,0.014525,0.167788
0.020000,3.390396,-0.517850,3.400580,1.082552,0.039548,0.014603,0.170119
0.020000,3.411746,-0.514156,3.422247,1.083349,0.039842,0.014679,0.172473
0.020000,3.433103,-0.510410,3.443930,1.084152,0.040137,0.014753,0.174849
0.020000,3.454467,-0.506609,3.465629,1.084960,0.040433,0.014824,0.177248
0.020000,3.475838,-0.502755,3.487345,1.085775,0.040731,0.014893,0.179670
0.020000,3.497215,-0.498845,3.509077,1.086609,0.041674,0.047170,0.182116
0.020000,3.518600,-0.494879,3.530826,1.087452,0.042194,0.025962,0.184585
0.020000,3.539991,-0.490858,3.552592,1.088286,0.041671,-0.026147,0.187077
0.020000,3.561388,-0.486780,3.574374,1.089125,0.041973,0.015131,0.189593
0.020000,3.582791,-0.482644,3.596174,1.089971,0.042277,0.015184,0.192134
0.020000,3.604201,-0.478451,3.617990,1.090822,0.042582,0.015234,0.194698
0.020000,3.625617,-0.474199,3.639824,1.091680,0.042887,0.015280,0.197287
0.020000,3.647038,-0.469888,3.661675,1.092544,0.043194,0.015322,0.199900
0.020000,3.668465,-0.465518,3.683543,1.093414,0.043501,0.015361,0.202538
0.020000,3.689898,-0.461087,3.705429,1.094317,0.045137,0.081785,0.205201
0.020000,3.711337,-0.456594,3.727334,1.095209,0.044627,-0.025475,0.207889
0.020000,3.732781,-0.452041,3.749255,1.096099,0.044463,-0.008190,0.210602
0.020000,3.754230,-0.447425,3.771195,1.096994,0.044772,0.015451,0.213341
0.020000,3.775683,-0.442746,3.793153,1.097896,0.045082,0.015466,0.216105
0.020000,3.797142,-0.438004,3.815129,1.098804,0.045391,0.015477,0.218895
0.020000,3.818604,-0.433198,3.837124,1.099718,0.045701,0.015484,0.221711
0.020000,3.840072,-0.428327,3.859137,1.100651,0.046694,0.049682,0.224553
0.020000,3.861544,-0.423390,3.881169,1.101606,0.047726,0.051594,0.227421
0.020000,3.883019,-0.418387,3.903220,1.102539,0.046664,-0.053134,0.230316
0.020000,3.904499,-0.413318,3.925289,1.103479,0.046972,0.015417,0.233238
0.020000,3.925982,-0.408181,3.947378,1.104424,0.047280,0.015394,0.236186
0.020000,3.947468,-0.402976,3.969485,1.105376,0.047587,0.015364,0.239162
0.020000,3.968957,-0.397702,3.991612,1.106334,0.047894,0.015328,0.242165
0.020000,3.990449,-0.392359,4.013759,1.107334,0.050016,0.106090,0.245195
0.020000,4.011944,-0.386945,4.035925,1.108315,0.049018,-0.049899,0.248253
0.020000,4.033441,-0.381461,4.058111,1.109291,0.048837,-0.009021,0.251339
0.020000,4.054941,-0.375905,4.080316,1.110274,0.049138,0.015063,0.254453
0.020000,4.076441,-0.370277,4.102541,1.111263,0.049438,0.014990,0.257594
0.020000,4.097944,-0.364575,4.124787,1.112258,0.049736,0.014909,0.260765
0.020000,4.119448,-0.358800,4.147053,1.113302,0.052205,0.123423,0.263963
0.020000,4.140953,-0.352951,4.169339,1.114315,0.050673,-0.076608,0.267191
0.020000,4.162458,-0.347027,4.191645,1.115328,0.050643,-0.001472,0.270447
0.020000,4.183964,-0.341027,4.213972,1.116347,0.050932,0.014435,0.273732
0.020000,4.205469,-0.334950,4.236320,1.117371,0.051218,0.014309,0.277047
0.020000,4.226974,-0.328796,4.258688,1.118424,0.052637,0.070961,0.280390
0.020000,4.248479,-0.322564,4.281078,1.119490,0.053307,0.033486,0.283764
0.020000,4.269983,-0.316253,4.303489,1.120531,0.052077,-0.061482,0.287167
0.020000,4.291485,-0.309862,4.325920,1.121578,0.052350,0.013628,0.290600
0.020000,4.312985,-0.303392,4.348373,1.122631,0.052619,0.013451,0.294063
0.020000,4.334483,-0.296840,4.370847,1.123709,0.053894,0.063764,0.297556
0.020000,4.355979,-0.290207,4.393343,1.124807,0.054917,0.051157,0.301079
0.020000,4.377472,-0.283491,4.415861,1.125875,0.053413,-0.075219,0.304633
0.020000,4.398961,-0.276692,4.438400,1.126949,0.053664,0.012534,0.308218
0.020000,4.420446,-0.269810,4.460960,1.128027,0.053910,0.012299,0.311833
0.020000,4.441927,-0.262842,4.483543,1.129145,0.055890,0.098996,0.315479
0.020000,4.463404,-0.255789,4.506148,1.130255,0.055522,-0.018371,0.319157
0.020000,4.484875,-0.248650,4.528775,1.131347,0.054618,-0.045187,0.322866
0.020000,4.506340,-0.241423,4.551424,1.132444,0.054841,0.011117,0.326605
0.020000,4.527799,-0.234109,4.574095,1.133551,0.055354,0.025657,0.330377
0.020000,4.549252,-0.226707,4.596789,1.134709,0.057908,0.127705,0.334180
0.020000,4.570697,-0.219215,4.619506,1.135819,0.055464,-0.122186,0.338014
0.020000,4.592134,-0.211633,4.642244,1.136932,0.055658,0.009700,0.341881
0.020000,4.613563,-0.203960,4.665005,1.138049,0.055845,0.009339,0.345779
0.020000,4.634984,-0.196196,4.687790,1.139217,0.058437,0.129580,0.349710
0.020000,4.656395,-0.188339,4.710597,1.140352,0.056747,-0.084500,0.353672
0.020000,4.677796,-0.180390,4.733426,1.141479,0.056341,-0.020263,0.357667
0.020000,4.699185,-0.172346,4.756278,1.142609,0.056494,0.007604,0.361694
0.020000,4.720565,-0.164208,4.779154,1.143784,0.058735,0.112078,0.365754
0.020000,4.741932,-0.155975,4.802053,1.144937,0.057640,-0.054758,0.369846
0.020000,4.763286,-0.147645,4.824974,1.146074,0.056868,-0.038599,0.373971
0.020000,4.784627,-0.139219,4.847919,1.147214,0.056980,0.005594,0.378128
0.020000,4.805955,-0.130695,4.870887,1.148400,0.059312,0.116616,0.382318
0.020000,4.827268,-0.122073,4.893878,1.149557,0.057882,-0.071506,0.386540
0.020000,4.848566,-0.113351,4.916892,1.150702,0.057214,-0.033383,0.390795
0.020000,4.869847,-0.104530,4.939929,1.151847,0.057280,0.003294,0.395083
0.020000,4.891112,-0.095609,4.962990,1.153049,0.060069,0.139418,0.399404
0.020000,4.912360,-0.086586,4.986074,1.154199,0.057520,-0.127412,0.403758
0.020000,4.933589,-0.077461,5.009181,1.155346,0.057356,-0.008207,0.408145
0.020000,4.954799,-0.068234,5.032311,1.156507,0.058054,0.034882,0.412564
0.020000,4.975989,-0.058903,5.055465,1.157698,0.059524,0.073492,0.417016
0.020000,4.997159,-0.049468,5.078642,1.158844,0.057298,-0.111262,0.421501
0.020000,5.018307,-0.039928,5.101841,1.159989,0.057268,-0.001503,0.426019
0.020000,5.039432,-0.030283,5.125065,1.161169,0.059005,0.086848,0.430569
0.020000,5.060535,-0.020532,5.148311,1.162331,0.058092,-0.045693,0.435153
0.020000,5.081613,-0.010674,5.171581,1.163471,0.057018,-0.053658,0.439768
0.020000,5.102666,-0.000709,5.194873,1.164617,0.057301,0.014108,0.444417
0.020000,5.123694,0.009364,5.218189,1.165799,0.059060,0.087962,0.449098
0.020000,5.144694,0.019546,5.241528,1.166931,0.056609,-0.122535,0.453811
0.020000,5.165666,0.029837,5.264889,1.168060,0.056464,-0.007244,0.458557
0.020000,5.186610,0.040239,5.288273,1.169222,0.058089,0.081240,0.463335
0.020000,5.207524,0.050750,5.311680,1.170357,0.056750,-0.066941,0.468145
0.020000,5.228407,0.061373,5.335110,1.171473,0.055830,-0.046030,0.472986
0.020000,5.249259,0.072107,5.358562,1.172603,0.056456,0.031340,0.477860
0.020000,5.270077,0.082954,5.382037,1.173739,0.056799,0.017152,0.482765
0.020000,5.290862,0.093913,5.405534,1.174839,0.055012,-0.089384,0.487702
0.020000,5.311611,0.104986,5.429052,1.175936,0.054876,-0.006803,0.492670
0.020000,5.332325,0.116172,5.452594,1.177064,0.056398,0.076124,0.497669
0.020000,5.353001,0.127472,5.476156,1.178144,0.054001,-0.119836,0.502699
0.020000,5.373639,0.138887,5.499741,1.179218,0.053661,-0.016999,0.507760
0.020000,5.394238,0.150418,5.523347,1.180315,0.054863,0.060078,0.512851
0.020000,5.414796,0.162063,5.546975,1.181378,0.053141,-0.086093,0.517972
0.020000,5.435312,0.173825,5.570623,1.182425,0.052385,-0.037784,0.523123
0.020000,5.455786,0.185703,5.594293,1.183485,0.053000,0.030709,0.528304
0.020000,5.476215,0.197698,5.617983,1.184526,0.052031,-0.048440,0.533514
0.020000,5.496599,0.209810,5.641694,1.185544,0.050899,-0.056569,0.538753
0.020000,5.516937,0.222039,5.665426,1.186565,0.051058,0.007951,0.544021
0.020000,5.537227,0.234386,5.689177,1.187576,0.050550,-0.025428,0.549317
0.020000,5.557468,0.246851,5.712948,1.188560,0.049198,-0.067585,0.554641
0.020000,5.577658,0.259434,5.736739,1.189540,0.049010,-0.009388,0.559993
0.020000,5.597798,0.272136,5.760549,1.190515,0.048719,-0.014557,0.565372
0.020000,5.617884,0.284957,5.784379,1.191460,0.047278,-0.072057,0.570778
0.020000,5.637917,0.297896,5.808227,1.192397,0.046831,-0.022344,0.576211
0.020000,5.657894,0.310954,5.832093,1.193328,0.046559,-0.013607,0.581669
0.020000,5.677815,0.324131,5.855978,1.194231,0.045138,-0.071073,0.587154
0.020000,5.697678,0.337428,5.879880,1.195121,0.044503,-0.031746,0.592663
0.020000,5.717481,0.350844,5.903800,1.196003,0.044088,-0.020739,0.598197
0.020000,5.737224,0.364379,5.927737,1.196858,0.042777,-0.065535,0.603756
0.020000,5.756905,0.378033,5.951691,1.197698,0.042014,-0.038157,0.609338
0.020000,5.776523,0.391807,5.975662,1.198525,0.041322,-0.034619,0.614943
0.020000,5.796077,0.405700,5.999648,1.199329,0.040200,-0.056100,0.620572
0.020000,5.815564,0.419713,6.023651,1.200116,0.039359,-0.042040,0.626222
0.020000,5.834984,0.433844,6.047668,1.200882,0.038282,-0.053857,0.631894
0.020000,5.854336,0.448095,6.071701,1.201630,0.037406,-0.043795,0.637587
0.020000,5.873618,0.462464,6.095748,1.202360,0.036503,-0.045145,0.643301
0.020000,5.892828,0.476952,6.119809,1.203061,0.035061,-0.072119,0.649034
0.020000,5.911966,0.491559,6.143884,1.203748,0.034361,-0.034968,0.654787
0.020000,5.931030,0.506283,6.167973,1.204417,0.033446,-0.045768,0.660559
0.020000,5.950019,0.521126,6.192074,1.205051,0.031700,-0.087287,0.666349
0.020000,5.968930,0.536086,6.216187,1.205672,0.031056,-0.032194,0.672156
0.020000,5.987764,0.551163,6.240313,1.206276,0.030199,-0.042866,0.677980
0.020000,6.006519,0.566357,6.264450,1.206841,0.028237,-0.098084,0.683821
