dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,-0.708335,0.000625,0.062500,3.125000,156.250000,0.000000
0.020000,0.001125,-0.708335,0.001750,0.056250,-0.312500,-171.875000,0.000000
0.020000,0.006125,-0.708335,0.006750,0.250000,9.687500,500.000000,0.000000
0.020000,0.013625,-0.708335,0.014250,0.375000,6.250000,-171.875000,0.000000
0.020000,0.023625,-0.708335,0.024250,0.500000,6.250000,-0.000000,0.000000
0.020000,0.036125,-0.708335,0.036750,0.625000,6.250000,0.000000,0.000000
0.020000,0.051125,-0.708335,0.051750,0.750000,6.250000,-0.000000,0.000000
0.020000,0.068625,-0.708335,0.069250,0.875000,6.250000,0.000000,0.000000
0.020000,0.088000,-0.708335,0.088625,0.968750,4.687500,-78.125000,0.000000
0.020000,0.108000,-0.708335,0.108625,1.000000,1.562500,-156.250000,0.000000
0.020000,0.128000,-0.708335,0.128625,1.000000,0.000000,-78.125000,0.000000
0.020000,0.148000,-0.708335,0.148625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.168000,-0.708335,0.168625,1.000000,0.000000,0.000000,0.000000
0.020000,0.188000,-0.708335,0.188625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.208000,-0.708335,0.208625,1.000000,0.000000,0.000000,0.000000
0.020000,0.228000,-0.708335,0.228625,1.000000,0.000000,0.000000,0.000000
0.020000,0.248000,-0.708335,0.248625,1.000000,0.000000,-0.000000,0.000000
0.020000,0.268000,-0.708335,0.268625,1.000000,0.000000,0.000000,0.000000
0.020000,0.288000,-0.708335,0.288625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.308000,-0.708335,0.308625,1.000000,0.000000,0.000000,0.000000
0.020000,0.328000,-0.708335,0.328625,1.000000,0.000000,-0.000000,0.000000
0.020000,0.348000,-0.708335,0.348625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.368000,-0.708335,0.368625,1.000000,0.000000,0.000000,0.000000
0.020000,0.388000,-0.708335,0.388625,1.000000,0.000000,-0.000000,0.000000
0.020000,0.408000,-0.708335,0.408625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.428000,-0.708335,0.428625,1.000000,0.000000,0.000000,0.000000
0.020000,0.448000,-0.708335,0.448625,1.000000,0.000000,-0.000000,0.000000
0.020000,0.468000,-0.708335,0.468625,1.000000,0.000000,0.000000,0.000000
0.020000,0.488000,-0.708335,0.488625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.508000,-0.708335,0.508625,1.000000,0.000000,0.000000,0.000000
0.020000,0.528000,-0.708335,0.528625,1.000000,0.000000,-0.000000,0.000000
0.020000,0.548000,-0.708335,0.548625,1.000000,0.000000,0.000000,0.000000
0.020000,0.568000,-0.708335,0.568625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.588000,-0.708335,0.588625,1.000000,0.000000,0.000000,0.000000
0.020000,0.608000,-0.708335,0.608625,1.000000,0.000000,-0.000000,0.000000
0.020000,0.628000,-0.708335,0.628625,1.000000,0.000000,0.000000,0.000000
0.020000,0.648000,-0.708335,0.648625,1.000000,0.000000,0.000000,0.000000
0.020000,0.668000,-0.708335,0.668625,1.000000,0.000000,0.000000,0.000000
0.020000,0.688000,-0.708335,0.688625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.708000,-0.708335,0.708625,1.000000,0.000000,0.000000,0.000000
0.020000,0.728000,-0.708335,0.728625,1.000000,0.000000,-0.000000,0.000000
0.020000,0.748000,-0.708335,0.748625,1.000000,0.000000,0.000000,0.000000
0.020000,0.768000,-0.708335,0.768625,1.000000,0.000000,0.000000,0.000000
0.020000,0.788000,-0.708335,0.788625,1.000000,0.000000,0.000000,0.000000
0.020000,0.808000,-0.708335,0.808625,1.000000,0.000000,0.000000,0.000000
0.020000,0.828000,-0.708335,0.828625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.848000,-0.708335,0.848625,1.000000,0.000000,0.000000,0.000000
0.020000,0.868000,-0.708335,0.868625,1.000000,0.000000,-0.000000,0.000000
0.020000,0.888000,-0.708335,0.888625,1.000000,0.000000,0.000000,0.000000
0.020000,0.908000,-0.708335,0.908625,1.000000,0.000000,0.000000,0.000000
0.020000,0.928000,-0.708335,0.928625,1.000000,0.000000,0.000000,0.000000
0.020000,0.948000,-0.708335,0.948625,1.000000,-0.000000,-0.000000,0.000000
0.020000,0.968000,-0.708335,0.968625,1.000000,0.000000,0.000000,0.000000
0.020000,0.988000,-0.708335,0.988625,1.000000,0.000000,-0.000000,0.000000
0.020000,1.008000,-0.708335,1.008625,1.000000,0.000000,0.000000,0.000000
0.020000,1.028000,-0.708335,1.028625,1.000000,0.000000,0.000000,0.000000
0.020000,1.048000,-0.708335,1.048625,1.000000,0.000000,0.000000,0.000000
0.020000,1.068000,-0.708335,1.068625,1.000000,0.000000,0.000000,0.000000
0.020000,1.088000,-0.708335,1.088625,1.000000,0.000000,0.000000,0.000000
0.020000,1.108000,-0.708335,1.108625,1.000000,0.000000,0.000000,0.000000
0.020000,1.128000,-0.708335,1.128625,1.000000,-0.000000,-0.000000,0.000000
0.020000,1.148000,-0.708335,1.148625,1.000000,0.000000,0.000000,0.000000
0.020000,1.168000,-0.708335,1.168625,1.000000,0.000000,-0.000000,0.000000
0.020000,1.188000,-0.708335,1.188625,1.000000,0.000000,0.000000,0.000000
0.020000,1.208000,-0.708335,1.208625,1.000000,0.000000,0.000000,0.000000
0.020000,1.228000,-0.708335,1.228625,1.000000,0.000000,0.000000,0.000000
0.020000,1.248000,-0.708335,1.248625,1.000000,0.000000,0.000000,0.000000
0.020000,1.268000,-0.708335,1.268625,1.000000,0.000000,0.000000,0.000000
0.020000,1.288000,-0.708335,1.288625,1.000000,0.000000,0.000000,0.000000
0.020000,1.308000,-0.708335,1.308625,1.000000,0.000000,0.000000,0.000000
0.020000,1.328000,-0.708335,1.328625,1.000000,0.000000,0.000000,0.000000
0.020000,1.348000,-0.708335,1.348625,1.000000,0.000000,0.000000,0.000000
0.020000,1.368000,-0.708335,1.368625,1.000000,0.000000,0.000000,0.000000
0.020000,1.388000,-0.708335,1.388625,1.000000,-0.000000,-0.000000,0.000000
0.020000,1.408000,-0.708335,1.408625,1.000000,0.000000,0.000000,0.000000
0.020000,1.428000,-0.708335,1.428625,1.000000,0.000000,-0.000000,0.000000
0.020000,1.448000,-0.708335,1.448625,1.000000,0.000000,0.000000,0.000000
0.020000,1.468000,-0.708335,1.468625,1.000000,0.000000,0.000000,0.000000
0.020000,1.488000,-0.708335,1.488625,1.000000,0.000000,0.000000,0.000000
0.020000,1.508000,-0.708335,1.508625,1.000000,0.000000,0.000000,0.000000
